Blue,Green,Red,NIR,SWIR1,SWIR2,NDVI,NDWI,NDBI,class
0.08,0.12,0.06,0.72,0.32,0.18,0.846,-0.714,-0.385,Forest
0.07,0.14,0.07,0.68,0.3,0.17,0.813,-0.659,-0.388,Forest
0.09,0.16,0.08,0.75,0.34,0.19,0.807,-0.648,-0.377,Forest
0.06,0.11,0.05,0.7,0.29,0.16,0.867,-0.729,-0.414,Forest
0.08,0.13,0.07,0.73,0.31,0.18,0.825,-0.697,-0.402,Forest
0.1,0.18,0.12,0.55,0.28,0.16,0.642,-0.507,-0.325,Agriculture
0.11,0.2,0.13,0.6,0.3,0.17,0.644,-0.5,-0.333,Agriculture
0.09,0.19,0.11,0.58,0.27,0.15,0.681,-0.507,-0.365,Agriculture
0.12,0.21,0.14,0.62,0.31,0.18,0.632,-0.494,-0.333,Agriculture
0.1,0.17,0.1,0.57,0.26,0.14,0.701,-0.541,-0.373,Agriculture
0.18,0.25,0.22,0.28,0.25,0.2,0.12,-0.057,0.057,Built-up
0.2,0.27,0.24,0.3,0.28,0.22,0.111,-0.053,0.048,Built-up
0.19,0.26,0.23,0.32,0.29,0.23,0.164,-0.103,0.051,Built-up
0.21,0.28,0.25,0.29,0.27,0.21,0.074,0.007,0.053,Built-up
0.17,0.24,0.21,0.31,0.26,0.2,0.192,-0.127,0.022,Built-up
0.05,0.1,0.04,0.06,0.03,0.02,0.2,0.25,-0.333,Water
0.04,0.09,0.03,0.05,0.02,0.01,0.25,0.4,-0.429,Water
0.06,0.11,0.04,0.07,0.03,0.02,0.273,0.286,-0.4,Water
0.03,0.08,0.02,0.04,0.015,0.008,0.333,0.405,-0.455,Water
0.05,0.09,0.03,0.06,0.025,0.012,0.333,0.2,-0.333,Water
0.22,0.28,0.25,0.35,0.38,0.3,0.167,-0.111,0.044,Barren
0.24,0.3,0.27,0.38,0.4,0.32,0.17,-0.118,0.051,Barren
0.2,0.27,0.24,0.33,0.36,0.29,0.158,-0.1,0.045,Barren
0.25,0.31,0.28,0.4,0.42,0.34,0.176,-0.127,0.059,Barren
0.23,0.29,0.26,0.36,0.39,0.31,0.161,-0.108,0.05,Barren
